alignment_seed,candidate_type,model_type,ablation,reranker_seed,source_git_commit,params_sha256,metric_for_best,best_epoch,best_val_metric,stop_epoch,early_stopped,upper_bound_pct,base_top1_pct,base_top5_pct,base_top10_pct,base_top20_pct,base_mrr_raw,rerank_top1_pct,rerank_top5_pct,rerank_top10_pct,rerank_top20_pct,rerank_mrr_raw
42,mass,transformer,full,42,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.650644540082891,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.74,77.774,80.3714,82.177,0.7287
42,mass,transformer,full,43,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,12,0.6502539758127874,17,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.3527,77.1759,79.7106,82.1542,0.7238
42,mass,transformer,full,44,a2280d2828ce872da1f69319b49e0ef7f1bed572,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,16,0.6514247147758596,21,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.6546,77.1246,79.8986,82.2796,0.7254
42,mass,transformer,no_residual,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,19,0.6571532039984492,24,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.2274,77.1702,79.8587,82.1201,0.7229
42,mass,transformer,no_residual,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,5,0.6505220447086405,10,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.1476,77.5347,80.3486,82.4049,0.724
42,mass,transformer,no_residual,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,9,0.6515893517614253,14,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.1078,77.2386,80.0353,82.4106,0.7229
42,mass,transformer,no_base_score,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.6501941458323692,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,67.9768,77.398,80.4283,82.5188,0.723
42,mass,transformer,no_base_score,43,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.6520950916348224,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,68.2957,77.3866,80.2176,82.3308,0.7245
42,mass,transformer,no_base_score,44,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,8,0.6514938028523025,13,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,67.9255,76.8854,80.1208,82.4789,0.7209
42,mass,transformer,no_rank_embedding,42,8bd2ca439bc972c0ada88b6ad8b746372040df14,b6260dad043f9c0f1cb4ff36dc7b7bf8bac4481998aa36b4d55f44392e1b0bc6,mrr,6,0.6630270522631605,11,True,83.8802,47.4596,63.5111,71.0242,77.7626,0.5503,69.7824,77.6031,80.6676,82.8207,0.7343
